0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
,,0,,11,11,10,12,17,19.0,16,29.0,11,0,4.0,3,11,,12.0,8,1,3.0,15.0,,21.0,5.0,28.0,0,18.0,21.0,21,10.0,6.0,20.0,12,3,0.0,,9,9,0,19,21.0,9,7,10,7,20,0,17.0,20,,1.0,,20,10.0,6.0,10.0,18,6,24.0,21,9,22,4.0,8,13.0,20,6,,0.0,,0.0,24.0,19.0,,21,8,19,0,,21.0,1,4.0,22.0,3.0,11.0,14,,0.0,,9.0,32,12
25.0,20.0,0,,0,8,0,17,8,34.0,17,20.0,8,16,25.0,15,14,,,5,15,26.0,19.0,17.0,33.0,16.0,14.0,0,14.0,15.0,23,18.0,20.0,24.0,16,16,,,17,18,6,5,12.0,17,16,17,11,0,1,7.0,20,,19.0,,19,0.0,27.0,35.0,28,29,,21,16,21,29.0,15,,17,9,2.0,26.0,,19.0,,27.0,,0,18,4,0,31.0,,15,0.0,24.0,18.0,9.0,22,29.0,23.0,,0.0,33,12
9.0,9.0,15,,0,12,17,9,18,21.0,0,7.0,19,16,22.0,0,18,23.0,,12,15,16.0,5.0,,23.0,15.0,16.0,17,18.0,6.0,18,18.0,,,17,18,,11.0,16,2,0,13,19.0,17,14,0,16,14,10,0.0,14,16.0,18.0,13.0,6,17.0,,22.0,6,8,2.0,0,11,15,,0,19.0,10,19,,20.0,,19.0,,12.0,11.0,9,4,5,3,,21.0,13,10.0,23.0,11.0,12.0,19,0.0,16.0,,0.0,34,12
6.0,26.0,18,,19,13,17,19,9,20.0,19,8.0,19,18,18.0,15,18,17.0,10.0,14,15,19.0,0.0,13.0,4.0,0.0,,7,20.0,9.0,12,20.0,,,20,0,,7.0,7,16,18,15,19.0,19,17,19,14,18,18,0.0,18,,17.0,20.0,0,21.0,10.0,21.0,17,13,,13,3,14,13.0,0,,7,11,,8.0,9.0,21.0,,,0.0,0,17,3,12,,11.0,16,20.0,0.0,17.0,6.0,14,,20.0,0.0,,35,12
5.0,,0,0.0,3,9,2,17,18,24.0,18,20.0,0,15,24.0,16,17,22.0,,12,16,22.0,9.0,,41.0,3.0,14.0,5,9.0,22.0,24,2.0,7.0,,18,0,,32.0,17,20,16,21,11.0,16,16,18,13,6,0,19.0,0,,20.0,,20,3.0,15.0,,24,0,,21,18,21,41.0,17,16.0,19,23,0.0,25.0,,18.0,16.0,35.0,,23,19,21,20,0.0,26.0,3,6.0,23.0,11.0,18.0,22,15.0,0.0,,41.0,36,12
,11.0,10,15.0,13,0,11,11,1,14.0,3,15.0,12,12,15.0,8,12,,16.0,4,10,15.0,14.0,,1.0,12.0,13.0,5,11.0,5.0,13,2.0,,,3,12,15.0,,7,10,0,7,16.0,8,1,10,13,14,11,13.0,11,,15.0,16.0,13,2.0,0.0,0.0,2,13,0.0,0,9,14,14.0,8,,12,11,,11.0,,0.0,8.0,11.0,16.0,13,6,13,11,,0.0,0,6.0,16.0,3.0,17.0,12,0.0,,,,37,12
20.0,7.0,16,,4,4,14,13,18,18.0,17,20.0,19,15,0.0,6,0,11.0,3.0,2,13,14.0,0.0,,0.0,12.0,,18,19.0,4.0,14,18.0,7.0,16.0,16,11,,19.0,16,12,0,11,21.0,17,14,15,15,10,15,4.0,0,15.0,7.0,,14,14.0,,19.0,0,13,12.0,2,1,3,0.0,5,0.0,11,15,19.0,16.0,,7.0,,,,16,15,16,14,0.0,10.0,12,,10.0,20.0,21.0,15,,19.0,7.0,,38,12
,,17,,8,17,16,21,9,4.0,17,10.0,19,5,16.0,12,17,22.0,5.0,12,3,23.0,0.0,,0.0,19.0,27.0,16,0.0,0.0,24,22.0,0.0,,17,16,22.0,10.0,7,0,10,11,0.0,11,12,20,22,22,18,18.0,0,,17.0,,22,12.0,,24.0,23,5,,0,17,23,14.0,12,,18,0,28.0,24.0,,23.0,,24.0,20.0,23,23,24,18,20.0,25.0,15,28.0,24.0,5.0,19.0,22,27.0,15.0,25.0,,39,12
,10.0,13,,8,9,12,13,14,15.0,14,1.0,11,11,16.0,8,12,0.0,,7,2,21.0,14.0,,21.0,3.0,,4,6.0,14.0,10,13.0,0.0,,13,12,,5.0,0,7,6,13,6.0,12,9,2,15,14,12,12.0,4,,2.0,15.0,0,8.0,,21.0,20,20,19.0,0,12,13,0.0,4,,0,13,,14.0,,15.0,5.0,,12.0,12,0,13,0,9.0,14.0,10,11.0,19.0,13.0,11.0,2,0.0,,18.0,16.0,40,12
22.0,13.0,14,23.0,4,14,0,20,23,2.0,19,,5,12,13.0,12,9,14.0,,10,11,19.0,24.0,,0.0,0.0,,0,24.0,17.0,15,12.0,,20.0,7,1,,4.0,17,16,13,15,,13,11,16,20,19,18,24.0,17,24.0,18.0,,0,23.0,9.0,23.0,12,18,22.0,12,7,19,11.0,8,23.0,3,0,24.0,17.0,6.0,22.0,,,13.0,0,17,15,8,18.0,16.0,0,20.0,0.0,15.0,24.0,9,,,,0.0,41,12
