,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,theta,seed,q,EPH,corr
1259,1259,0.0,5.0,6.0,4.0,5.0,5.0,4.0,3.0,4.0,1.0,6.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,0.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,6.0,2.0,2.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,4.0,2.0,0.0,4.0,3.0,5.0,0.0,5.0,5.0,5.0,6.0,4.0,4.0,0.0,3.0,5.0,0.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,0.3,59,-1,2.348435814455232,-0.06176379838226991
1260,1260,1.0,3.0,3.0,4.0,11.0,3.0,10.0,10.0,8.0,10.0,0.0,11.0,8.0,11.0,10.0,0.0,2.0,0.0,8.0,9.0,8.0,10.0,5.0,10.0,11.0,9.0,10.0,9.0,11.0,2.0,10.0,10.0,3.0,0.0,0.0,10.0,8.0,9.0,10.0,1.0,0.0,11.0,11.0,4.0,0.0,11.0,9.0,9.0,2.0,10.0,2.0,7.0,9.0,6.0,7.0,4.0,3.0,9.0,4.0,7.0,11.0,12.0,11.0,3.0,5.0,0.0,4.0,11.0,5.0,3.0,0.0,1.0,0.0,10.0,11.0,0.3,60,-1,4.664989939637827,0.11942021295867557
1261,1261,4.0,5.0,5.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,5.0,5.0,1.0,0.0,4.0,3.0,0.0,3.0,0.0,4.0,1.0,5.0,0.0,2.0,3.0,1.0,2.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,0.0,5.0,3.0,3.0,0.0,3.0,4.0,3.0,4.0,4.0,0.3,61,-1,2.087336244541485,-0.18252352201645608
1262,1262,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,1.0,,0.0,,,1.0,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.3,62,-1,1.8686868686868687,-0.25910011025251833
1263,1263,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,1.0,0.0,,,,,,,,,0.0,,,1.0,,0.3,63,-1,2.78125,-0.3580144537934933
1264,1264,1.0,3.0,2.0,3.0,8.0,2.0,4.0,7.0,0.0,7.0,0.0,7.0,5.0,7.0,6.0,5.0,0.0,2.0,4.0,5.0,5.0,5.0,1.0,7.0,5.0,4.0,7.0,6.0,5.0,2.0,6.0,0.0,3.0,4.0,0.0,6.0,5.0,6.0,0.0,1.0,1.0,7.0,7.0,3.0,8.0,7.0,4.0,6.0,0.0,7.0,2.0,0.0,6.0,5.0,0.0,3.0,2.0,6.0,2.0,4.0,9.0,10.0,7.0,2.0,4.0,6.0,3.0,8.0,0.0,3.0,4.0,3.0,4.0,6.0,7.0,0.3,64,-1,3.21875,0.1587588340879511
1265,1265,1.0,0.0,1.0,2.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,0.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,2.0,5.0,6.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,4.0,4.0,0.3,65,-1,1.8216783216783217,0.022904223993236793
1266,1266,,,,,1.0,,3.0,,,,,5.0,,0.0,,,0.0,,,,0.0,0.0,,6.0,5.0,4.0,,0.0,4.0,,3.0,2.0,,,,5.0,,,5.0,0.0,,,,,2.0,,,,,,,0.0,8.0,7.0,,,,2.0,,2.0,0.0,1.0,2.0,1.0,3.0,,,2.0,,,,,,,0.0,0.3,66,-1,5.8591304347826085,0.018407949480463325
1267,1267,6.0,5.0,6.0,4.0,1.0,6.0,4.0,0.0,5.0,0.0,6.0,3.0,4.0,5.0,2.0,5.0,6.0,5.0,4.0,5.0,3.0,2.0,0.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,0.0,5.0,1.0,4.0,6.0,6.0,1.0,3.0,6.0,2.0,0.0,3.0,5.0,6.0,4.0,5.0,4.0,3.0,0.0,5.0,5.0,5.0,5.0,6.0,2.0,5.0,6.0,2.0,5.0,3.0,5.0,4.0,0.0,1.0,0.0,2.0,6.0,5.0,6.0,0.0,0.3,67,-1,2.4267650158061116,-0.1922087456961142
1268,1268,5.0,5.0,6.0,4.0,1.0,6.0,2.0,5.0,4.0,5.0,5.0,5.0,0.0,6.0,5.0,4.0,1.0,4.0,6.0,0.0,4.0,4.0,6.0,0.0,0.0,4.0,5.0,1.0,0.0,5.0,3.0,3.0,5.0,5.0,1.0,2.0,0.0,5.0,2.0,0.0,6.0,6.0,5.0,6.0,0.0,6.0,3.0,5.0,4.0,6.0,5.0,3.0,5.0,4.0,5.0,6.0,6.0,1.0,5.0,3.0,7.0,8.0,2.0,0.0,3.0,4.0,4.0,2.0,6.0,5.0,5.0,5.0,5.0,1.0,0.0,0.3,68,-1,2.752979414951246,-0.008201446705817137
1269,1269,3.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,0.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,0.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,4.0,0.3,69,-1,2.022269353128314,0.01886902140582782
1270,1270,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,,,,,,,,,,,0.0,,,0.3,70,-1,1.8990384615384615,-0.22411673409695027
1271,1271,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,2.0,,,,1.0,,0.0,,,0.0,,,,1.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.3,71,-1,2.7127659574468086,-0.239374759492503
