,Unnamed: 0.1,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
40,40,40,2,1.0,1,1.0,1,1,2,0,1,1,1,2,0,1,2,1,1,2,1,0,1,1,1,2.0,1,1,2,1,1,2,1,1,2,2.0,1,1,1.0,0,1,1,1,1,1,1,2,1,1,2,1,2,0,2,2,2.0,1,2,0,1.0,2,1,2,2,1,1,2.0,0,1.0,2,1,2,0,0.0,2,2.0,2.0,1,1,1,1,1,3.0,1,2,1,1,2,1,1,1,2.0,2,0.0,0.6,40,1.091549295774648,-0.222655594248266
41,41,41,2,1.0,2,2.0,1,1,1,1,2,2,2,1,0,2,1,1,2,1,2,1,1,2,2,0.0,1,2,0,1,2,1,1,1,2,2.0,1,0,1.0,1,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,2.0,2,2,0,2.0,2,1,3,2,1,1,0.0,0,1.0,1,2,2,1,2.0,1,1.0,2.0,1,1,3,1,1,0.0,1,2,1,2,0,1,2,2,0.0,2,2.0,0.4,41,1.1164835164835163,-0.0214965232749688
42,42,42,3,2.0,1,2.0,1,1,1,2,1,1,2,2,2,1,0,1,1,2,2,1,0,2,2,1.0,2,2,1,1,1,2,1,2,2,2.0,1,1,2.0,2,1,2,1,2,1,1,1,2,2,2,1,1,2,0,1,2.0,2,2,1,1.0,1,2,0,1,1,1,2.0,1,1.0,2,1,2,2,0.0,2,2.0,0.0,1,1,2,1,1,2.0,1,0,2,1,1,0,0,2,3.0,1,2.0,0.6,42,1.07035175879397,-0.2933766305519616
43,43,43,2,2.0,2,3.0,1,2,1,1,2,2,2,2,2,1,1,2,0,0,1,1,1,0,1,1.0,1,2,2,2,2,2,2,2,2,1.0,2,2,2.0,3,1,1,2,1,1,2,1,1,2,2,2,0,2,0,2,3.0,1,1,2,2.0,0,0,1,2,1,1,0.0,1,3.0,2,0,2,1,2.0,2,2.0,3.0,2,2,2,2,1,2.0,1,1,2,2,2,2,2,2,3.0,1,0.0,0.4,43,1.1662921348314608,-0.2344276101841359
44,44,44,2,2.0,2,0.0,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,0,2,0,0.0,2,1,1,1,2,2,2,1,1,2.0,1,0,1.0,1,1,2,1,1,1,1,2,0,2,2,1,1,2,2,2,3.0,1,0,2,2.0,1,0,3,1,1,2,2.0,1,3.0,1,2,2,2,2.0,1,1.0,3.0,3,2,2,1,1,2.0,2,1,1,0,2,2,2,2,3.0,3,2.0,0.4,44,1.1304347826086956,-0.4238379000689178
45,45,45,1,2.0,1,0.0,1,1,1,1,2,1,2,2,1,1,1,0,1,1,1,1,1,1,2,2.0,1,2,2,1,1,1,0,1,0,2.0,1,0,1.0,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2.0,1,2,2,1.0,2,1,2,0,1,1,1.0,0,1.0,1,0,2,1,1.0,1,1.0,1.0,0,1,1,1,1,2.0,1,1,1,1,0,2,1,2,2.0,1,2.0,0.6,45,1.0521978021978022,-0.3126653609573617
46,46,46,1,2.0,1,2.0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,0,1,1,2,2.0,1,1,2,0,1,2,1,1,2,2.0,1,1,1.0,2,2,1,0,1,1,1,1,1,1,1,1,2,1,2,1,2.0,1,1,1,1.0,0,1,0,0,1,1,1.0,1,2.0,2,2,0,1,1.0,1,2.0,3.0,0,1,1,2,1,0.0,2,1,2,1,1,1,1,2,2.0,1,2.0,0.5,46,1.076086956521739,-0.3394053093135772
47,47,47,2,2.0,1,3.0,1,2,0,0,0,1,1,1,1,2,1,1,1,2,2,1,1,1,1,0.0,1,1,2,1,1,1,1,1,1,2.0,2,2,2.0,2,2,1,2,1,1,2,1,1,1,1,1,1,1,0,2,1.0,1,1,2,1.0,1,0,1,1,1,1,3.0,1,2.0,1,2,1,2,0.0,0,1.0,3.0,1,1,2,1,1,0.0,2,1,1,1,1,1,2,1,3.0,2,2.0,0.6,47,1.0767045454545454,-0.2331010003302343
48,48,48,0,1.0,1,,1,1,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2.0,3,2,1,2,1,1,1,1,1,2.0,0,1,2.0,2,2,2,2,2,2,1,2,1,3,2,0,2,3,0,2,2.0,2,2,2,2.0,3,2,3,1,1,2,0.0,1,2.0,2,0,1,0,2.0,2,2.0,2.0,2,1,1,1,1,2.0,0,1,1,2,1,1,1,1,2.0,1,0.0,0.4,48,1.1311111111111112,-0.1409205637004832
49,49,49,1,2.0,1,3.0,1,0,1,1,1,2,1,1,0,2,2,1,1,2,0,1,1,1,1,2.0,1,1,2,2,1,1,1,1,1,2.0,1,1,0.0,2,1,1,0,1,0,1,1,0,2,1,1,0,1,2,1,2.0,0,1,1,2.0,1,2,2,2,2,1,2.0,1,2.0,2,1,0,1,2.0,1,1.0,1.0,1,1,1,1,1,2.0,2,1,2,2,1,1,1,2,2.0,1,3.0,0.6,49,1.0455696202531646,-0.3706923179714698
50,50,50,2,2.0,0,2.0,0,0,1,1,1,2,1,0,1,1,1,1,1,2,1,1,1,2,0,2.0,2,2,1,1,2,1,1,2,2,0.0,1,1,2.0,2,1,2,1,3,2,2,1,1,2,2,0,1,2,2,2,1.0,1,2,2,2.0,2,2,2,2,2,2,3.0,1,3.0,2,1,1,0,0.0,1,2.0,1.0,1,1,2,1,1,2.0,1,1,2,2,1,2,1,1,2.0,1,2.0,0.4,50,1.1397590361445782,-0.3504070377222404
