,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
10,10,0,1,1,2.0,2,1,2,1,0,0,1,2,1,1,2,0,2,2,2,1,1,1,1,2,1,2,2,1,0,0,1,1,1,2,1,1,2.0,1,2,1,0,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,0.0,1,2.0,1,1,2,1,2,2,0.0,2.0,2,1,2,2,2,1,2,1,2,1,1,2,2,2,0.0,2,2.0,0.5,10,1.0652680652680653,-0.239355064363521
11,11,1,2,1,2.0,1,1,1,1,2,2,1,1,2,0,2,1,1,1,2,1,1,1,1,2,2,0,2,1,2,1,1,1,2,0,1,1,3.0,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,0,2,2,2,2,2,2,2,0,1.0,1,2.0,1,1,1,1,0,1,2.0,2.0,1,0,2,1,1,0,0,2,1,2,2,2,1,2,2.0,1,0.0,0.5,11,1.055137844611529,-0.2547767954061743
12,12,1,2,0,0.0,1,1,0,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,0,1,2,2,1,0,1,1,1,1,1,2,1,1,2.0,1,2,2,1,1,2,1,1,2,1,1,0,0,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1.0,1,2.0,0,1,1,2,1,1,1.0,1.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2.0,2,1.0,0.6,12,1.0563002680965148,-0.2535275918281444
13,13,2,2,1,3.0,1,2,1,1,2,2,1,1,1,1,1,1,0,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,2,1,2.0,2,2,1,1,1,1,1,1,1,0,1,0,1,1,1,2,2,0,1,2,2,0,2,3,2,1,1,2.0,1,0.0,1,1,1,2,2,1,2.0,0.0,2,2,1,1,1,2,1,0,1,1,1,1,1,1,2.0,2,2.0,0.6,13,1.0555555555555556,-0.4099627445113829
14,14,1,2,2,3.0,2,2,1,1,2,2,0,1,0,1,2,1,1,2,2,1,1,3,0,1,1,0,0,1,0,2,1,2,2,2,1,2,2.0,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,3,2,1,2,3,3,2,2,0,2,2,2.0,1,2.0,2,2,1,2,0,1,1.0,3.0,2,1,1,1,2,0,1,2,1,1,1,2,2,0,2.0,2,3.0,0.4,14,1.1306209850107067,-0.18498051463819223
15,15,0,3,2,3.0,2,0,1,2,1,2,1,1,0,1,2,1,1,2,2,1,2,2,1,2,2,1,2,0,0,2,1,2,2,2,2,1,2.0,3,2,2,1,1,2,1,1,1,2,0,1,1,2,1,1,2,1,2,1,2,2,2,3,2,2,1,3.0,1,2.0,2,1,1,2,0,0,1.0,1.0,0,2,2,1,1,1,2,1,2,2,0,2,2,2,2.0,1,3.0,0.4,15,1.1543624161073827,-0.2966734461501873
16,16,1,2,2,2.0,0,1,1,1,1,1,2,1,1,1,2,1,0,1,1,2,1,2,1,2,1,1,2,1,2,2,0,0,1,2,1,1,2.0,2,1,1,1,0,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,0,1,1,1,1,1,2.0,0,2.0,1,0,0,2,1,1,,2.0,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2.0,1,2.0,0.5,16,1.0956937799043063,-0.4417905290359746
17,17,1,2,1,2.0,2,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,2,2,1,1,0,1,2,2,1,2.0,1,1,0,1,1,1,1,2,0,1,1,1,2,1,1,2,2,2,1,1,0,1,1,1,1,1,1,2.0,1,1.0,2,0,1,1,1,2,1.0,2.0,2,1,2,2,1,2,1,1,1,0,2,1,1,1,2.0,1,2.0,0.5,17,1.0515970515970516,-0.2587569339030496
18,18,1,2,1,3.0,2,1,1,1,0,1,1,2,1,2,1,1,1,0,1,0,1,1,1,1,0,1,2,1,1,1,2,1,2,2,2,1,1.0,2,1,2,1,1,0,1,1,2,0,1,1,0,1,2,2,3,1,1,1,1,1,1,1,2,0,1,1.0,1,0.0,1,1,0,1,2,2,1.0,2.0,1,1,2,1,1,2,2,1,1,1,1,2,1,2,3.0,2,2.0,0.6,18,1.0829015544041452,-0.29349692074053485
19,19,1,2,1,2.0,1,0,1,1,1,2,1,1,1,1,2,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,2,0,1,1.0,2,1,1,0,1,1,1,1,1,2,2,2,1,1,1,0,2,2,1,0,2,2,2,2,1,1,2,1.0,1,0.0,2,1,1,1,2,1,1.0,0.0,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2.0,1,2.0,0.5,19,1.0426666666666666,-0.29834326350488977
